,Percent,nulls
Crash_ID,0.0,0
Crash_Fatal_Fl,0.0,0
Cmv_Involv_Fl,0.0,0
Schl_Bus_Fl,0.0,0
Rr_Relat_Fl,0.0,0
Medical_Advisory_Fl,0.0,0
Amend_Supp_Fl,0.0,0
Active_School_Zone_Fl,0.0,0
Crash_Date,0.0,0
Crash_Time,0.0,0
Case_ID,12.8,673
Local_Use,74.743,3930
Rpt_CRIS_Cnty_ID,0.0,0
Rpt_City_ID,0.0,0
Rpt_Outside_City_Limit_Fl,0.0,0
Thousand_Damage_Fl,0.0,0
Rpt_Latitude,79.194,4164
Rpt_Longitude,79.194,4164
Rpt_Rdwy_Sys_ID,0.0,0
Rpt_Hwy_Num,54.222,2851
Rpt_Hwy_Sfx,99.239,5218
Rpt_Road_Part_ID,0.0,0
Rpt_Block_Num,16.546,870
Rpt_Street_Pfx,61.297,3223
Rpt_Street_Name,0.0,0
Rpt_Street_Sfx,32.37,1702
Private_Dr_Fl,0.0,0
Toll_Road_Fl,0.0,0
Crash_Speed_Limit,0.0,0
Road_Constr_Zone_Fl,0.0,0
Road_Constr_Zone_Wrkr_Fl,0.0,0
Rpt_Street_Desc,75.979,3995
At_Intrsct_Fl,0.0,0
Rpt_Sec_Rdwy_Sys_ID,3.918,206
Rpt_Sec_Hwy_Num,80.525,4234
Rpt_Sec_Hwy_Sfx,99.62,5238
Rpt_Sec_Road_Part_ID,54.032,2841
Rpt_Sec_Block_Num,34.234,1800
Rpt_Sec_Street_Pfx,74.515,3918
Rpt_Sec_Street_Name,0.0,0
Rpt_Sec_Street_Sfx,32.18,1692
Rpt_Ref_Mark_Offset_Amt,95.607,5027
Rpt_Ref_Mark_Dist_Uom,95.607,5027
Rpt_Ref_Mark_Dir,95.607,5027
Rpt_Ref_Mark_Nbr,95.607,5027
Rpt_Sec_Street_Desc,87.105,4580
Rpt_CrossingNumber,99.924,5254
Wthr_Cond_ID,0.0,0
Light_Cond_ID,0.0,0
Entr_Road_ID,0.0,0
Road_Type_ID,58.558,3079
Road_Algn_ID,0.0,0
Surf_Cond_ID,0.0,0
Traffic_Cntl_ID,0.0,0
Investigat_Notify_Time,0.038,2
Investigat_Notify_Meth,0.095,5
Investigat_Arrv_Time,0.038,2
Report_Date,0.0,0
Investigat_Comp_Fl,0.0,0
ORI_Number,10.289,541
Investigat_Agency_ID,0.0,0
Investigat_Area_ID,62.933,3309
Investigat_District_ID,45.759,2406
Investigat_Region_ID,16.641,875
Bridge_Detail_ID,0.0,0
Harm_Evnt_ID,0.0,0
Intrsct_Relat_ID,0.0,0
FHE_Collsn_ID,0.0,0
Obj_Struck_ID,0.0,0
Othr_Factr_ID,0.0,0
Road_Part_Adj_ID,0.0,0
Road_Cls_ID,0.0,0
Road_Relat_ID,0.0,0
Phys_Featr_1_ID,0.0,0
Phys_Featr_2_ID,0.0,0
Cnty_ID,0.0,0
City_ID,0.0,0
Latitude,17.954,944
Longitude,17.954,944
Hwy_Sys,49.182,2586
Hwy_Nbr,49.182,2586
Hwy_Sfx,96.995,5100
