,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Hwy_Nbr,Hwy_Nbr_2,Hwy_Sys,Hwy_Sys_2,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Local_Use,Located_Fl,Located_Fl_01,Longitude,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Latitude,Rpt_Longitude,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Ref_Mark_Dir,Rpt_Ref_Mark_Dist_Uom,Rpt_Ref_Mark_Nbr,Rpt_Ref_Mark_Offset_Amt,Rpt_Sec_Block_Num,Rpt_Sec_Hwy_Num,Rpt_Sec_Street_Desc,Rpt_Sec_Street_Name,Rpt_Sec_Street_Pfx,Rpt_Sec_Street_Sfx,Rpt_Street_Desc,Rpt_Street_Name,Rpt_Street_Pfx,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Street_Name,Street_Name_2,Street_Nbr,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
1514,N,0,N,0,N,0,N,0,2013-04-20 19:10:00,4/20/2013,N,0,13249477,55,7:10 PM,SAT,0,,,,,0,7:14 PM,Y,1,DISPATCHED,7:10 PM,,,N,0,,N,0,6,0,TX0710200,N,0,0,N,0,4/20/2013,N,0,N,0,,,,,N,0,,,,,,,,GATEWAY NORTH,,BLVD,,EXIT 29 TRANS MOUNTAIN RAMP,,,N,0,N,0,N,0,EXIT 29 TRANS MOUNTAIN RAMP,,,N,0,N,0,0,N,0,0
1660,N,0,N,0,N,0,N,0,2013-05-05 21:05:00,5/5/2013,N,0,13266402,30,9:05 PM,SUN,0,,,,,0,9:26 PM,Y,1,RADIO,9:13 PM,,,N,0,,N,0,1,0,TX1260300,N,0,0,N,0,5/5/2013,N,0,N,0,,,,,N,0,,,,,,,,1300 BLOCK OF E KILPATRICK,,,,500 BLOCK OF DONAHO ST,,,N,0,N,0,N,0,500 BLOCK OF DONAHO ST,1300 BLOCK OF E KILPATRICK,,Y,1,N,0,0,Y,1,0
1795,N,0,N,0,Y,1,N,0,2013-05-11 13:07:00,5/11/2013,N,0,13282486,40,1:07 PM,SAT,0,,,,,0,1:12 PM,Y,1,DISPATCHED,1:09 PM,,,N,0,,N,0,3,0,TX1551400,N,0,0,N,0,5/11/2013,N,0,N,0,9000,,,,N,0,,,,,,,,100 HEWITT DR,,,,WOODWAY DR,,,N,0,N,0,N,0,WOODWAY DR,,,Y,1,N,0,0,Y,1,0
3935,N,0,N,0,N,0,N,0,2013-09-23 13:35:00,9/23/2013,N,0,13512417,0,1:35 PM,MON,0,,,,,0,2:42 PM,Y,1,VIA PHONE,2:42 PM,,,N,0,,N,0,2,0,TX0710200,N,0,0,N,0,9/23/2013,N,0,N,0,,,,,N,0,,,,,,,,VISCOUNT BLVD EB,,,,ACER,,ST,N,0,N,0,N,0,ACER ST,,,N,0,N,0,0,N,0,0
4386,N,0,N,0,Y,1,N,0,2013-11-11 16:56:00,11/11/2013,N,0,13548534,-1,4:56 PM,MON,0,,,,,1,4:47 PM,Y,1,DISPATCH,4:16 PM,,,N,0,,N,0,2,0,TX2270100,N,0,0,Y,1,11/11/2013,N,0,N,0,,,,,N,0,,,,,,,,WILLIAM CANNON,,DR,,PRIVATE,,,N,0,N,0,N,0,PRIVATE,,,Y,1,N,0,1,N,0,0
4706,N,0,N,0,Y,1,N,0,2013-11-28 13:47:00,11/28/2013,N,0,13583382,30,1:47 PM,THU,0,,,,,0,1:49 PM,Y,1,911,1:47 PM,,,N,0,,N,0,2,0,TX0430300,N,0,0,N,0,11/28/2013,N,0,N,0,,,,,N,0,,,,,,,,E 7TH STREET,,,,JACKSON STREET AND E 7TH STREET,,,N,0,Y,1,N,0,JACKSON STREET AND E 7TH STREET,E 7TH STREET,,N,0,N,0,0,N,0,0
467,N,0,N,0,Y,1,N,0,2013-02-09 16:26:00,2/9/2013,N,0,13137663,60,4:26 PM,SAT,0,,,,,0,4:39 PM,Y,1,DISPATCHED,4:28 PM,,,N,0,,N,0,3,0,TX0710200,N,0,5,N,0,2/9/2013,N,0,N,0,,,,,N,0,,,,,,,,I 10 HWY WB,,FWY,,EXIT 30 LEE TREVINO RAMP WB,,FWY,N,0,N,0,N,0,EXIT 30 LEE TREVINO RAMP WB FWY,,,N,0,N,0,5,Y,1,0
492,N,0,N,0,N,0,Y,1,2013-02-12 17:05:00,2/12/2013,N,0,13141256,15,5:05 PM,TUE,0,,,,,0,5:10 PM,Y,1,DISPATCHED,5:08 PM,,,N,0,,N,0,1,0,TX2400500,N,0,0,N,0,2/12/2013,N,0,N,0,,,,,N,0,,,,,,,LAREDO COMMUNITY COLLEGE ROADWAY (EXIT),LAREDO COMMUNITY COLLEGE ROADWAY,,,LAREDO COMMUNITY COLLEGE ROADWAY,LAREDO COMMUNITY COLLEGE ROADWAY,,,N,0,N,0,N,0,LAREDO COMMUNITY COLLEGE ROADWAY,,,N,0,N,0,0,N,0,0
648,N,0,N,0,N,0,N,0,2013-02-21 23:53:00,2/21/2013,N,0,13158544,0,11:53 PM,THU,0,,,,,0,12:15 AM,Y,1,DISPATCHED,12:10 AM,,0,N,0,,N,0,4,0,TX1010000,N,0,0,Y,1,2/22/2013,N,0,N,0,8200,,,,N,0,,,,,,,,HOLLY HALL,,,,FANNIN,,,N,0,N,0,N,0,FANNIN,,,N,0,N,0,0,N,0,0
674,N,0,N,0,Y,1,N,0,2013-02-26 13:35:00,2/26/2013,N,0,13161804,0,1:35 PM,TUE,0,,,,,0,2:19 PM,Y,1,PHONE,2:19 PM,,,N,0,,N,0,2,0,TX0710200,N,0,0,N,0,2/26/2013,N,0,N,0,,,,,N,0,,,,,,,ROADWAY,VISCOUNT BLVD EB,,,ROADWAY,AIRWAY BLVD NB,,,N,0,N,0,N,0,AIRWAY BLVD NB,,,Y,1,N,0,0,Y,1,0
875,N,0,N,0,N,0,N,0,2013-01-22 17:55:00,1/22/2013,N,0,13216228,0,5:55 PM,TUE,0,,,,,0,6:03 PM,Y,1,DISPATCHED,6:02 PM,,,N,0,,N,0,4,0,TX0710200,N,0,0,N,0,1/22/2013,N,0,N,0,,,,,N,0,,,,,,,,N MESA ST NB,N,,,DONIPHAN,,DR,N,0,N,0,N,0,DONIPHAN DR,,,Y,1,N,0,0,Y,1,0
881,N,0,Y,1,Y,1,N,0,2013-01-27 16:20:00,1/27/2013,N,0,13220695,0,4:20 PM,SUN,0,,,,,0,8:35 AM,Y,1,PHONE,8:35 AM,,,N,0,,N,0,2,0,TX0710200,N,0,0,N,0,2/6/2013,N,0,N,0,,,,,N,0,,,,,,,,N AMERICAS AVE SB,N,,,ALAMEDA,,AVE,N,0,N,0,N,0,ALAMEDA AVE,,,N,0,N,0,0,N,0,0
2524,N,0,N,0,N,0,N,0,2013-07-06 14:17:00,7/6/2013,N,0,13353159,0,2:17 PM,SAT,0,,,,,0,2:20 PM,Y,1,DISPATCHED,2:18 PM,,,N,0,,N,0,5,0,TX2460200,N,0,0,Y,1,7/6/2013,N,0,N,0,,,,,N,0,,,,,,,,LAKEWAY,,DR,PRIVATE PARKING LOT,SONIC PARKING LOT,,,N,0,N,0,N,0,SONIC PARKING LOT,,,Y,1,N,0,0,N,0,0
2589,N,0,N,0,N,0,N,0,2013-07-09 09:30:00,7/9/2013,N,0,13359487,15,9:30 AM,TUE,0,,,,,0,10:15 AM,Y,1,DISPATCHED,9:35 AM,,,N,0,,N,0,2,0,,N,0,0,Y,1,7/10/2013,N,0,N,0,,,32.73925,-96.30553,N,0,,,,,,205,,NOT REPORTED,,,,PARKING LOT,,,N,0,N,0,N,0,PARKING LOT,,,Y,1,N,0,0,N,0,0
2689,N,0,N,0,N,0,N,0,2013-07-14 20:00:00,7/14/2013,N,0,13370945,0,8:00 PM,SUN,0,,,,,0,8:51 PM,Y,1,DISPATCH,8:35 PM,,,N,0,,N,0,0,0,TX0840800,N,0,0,Y,1,7/15/2013,N,0,N,0,407,,,,N,0,,,,,400,,,MAGNOLIA BLOSSOM,,,,MAGNOLIA ESTATES DRIVE,,,N,0,N,0,N,0,MAGNOLIA ESTATES DRIVE,,,Y,1,N,0,0,N,0,1
2973,N,0,N,0,N,0,N,0,2013-07-29 19:06:00,7/29/2013,N,0,13475011,15,7:06 PM,MON,0,,,,,0,7:11 PM,Y,1,DISPATCHED,7:06 PM,,,N,0,,N,0,2,1,TX2270100,N,0,0,N,0,7/29/2013,N,0,N,0,8805,,,,N,0,,,,,1021,,,PARK PLZ,,,,NORTH PLZ,,,N,0,N,0,N,0,NORTH PLZ,,,N,0,N,0,1,N,0,0
3471,N,0,N,0,N,0,N,0,2013-09-11 00:00:00,9/11/2013,N,0,13448324,5,12:00 AM,WED,0,,,,,0,9:09 AM,Y,1,FLAGGED DOWN BY COMP,9:00 AM,,,N,0,,N,0,1,0,TXHPD0000,N,0,0,N,0,9/11/2013,N,0,N,0,9757,,,,N,0,,,,,,,,BUNKER HILL,,,,PINE LAKE,,DR,N,0,N,0,N,0,PINE LAKE DR,,,Y,1,N,0,0,N,0,0
