,Active_School_Zone_Fl,Active_School_Zone_Fl_01,Adt_Adj_Curnt_Amt,Adt_Curnt_Amt,Adt_Curnt_Year,Amend_Supp_Fl,Amend_Supp_Fl_01,At_Intrsct_Fl,At_Intrsct_Fl_01,Cmv_Involv_Fl,Cmv_Involv_Fl_01,Control,CrashDateFormated,Crash_Date,Crash_Fatal_Fl,Crash_Fatal_Fl_01,Crash_ID,Crash_Speed_Limit,Crash_Time,Day_of_Week,Death_Cnt,Dfo,Hp_Median_Width,Hp_Shldr_Left,Hp_Shldr_Right,Hwy_Nbr,Hwy_Sys,Incap_Injry_Cnt,Investigat_Arrv_Time,Investigat_Comp_Fl,Investigat_Comp_Fl_01,Investigat_Notify_Meth,Investigat_Notify_Time,Latitude,Located_Fl,Located_Fl_01,Longitude,Median_Width,Medical_Advisory_Fl,Medical_Advisory_Fl_01,Milepoint,Nbr_Of_Lane,Non_Injry_Cnt,Nonincap_Injry_Cnt,ORI_Number,Onsys_Fl,Onsys_Fl_01,Pct_Combo_Trk_Adt,Pct_Single_Trk_Adt,Poss_Injry_Cnt,Private_Dr_Fl,Private_Dr_Fl_01,Ref_Mark_Displ,Ref_Mark_Nbr,Report_Date,Road_Constr_Zone_Fl,Road_Constr_Zone_Fl_01,Road_Constr_Zone_Wrkr_Fl,Road_Constr_Zone_Wrkr_Fl_01,Roadbed_Width,Row_Width_Usual,Rpt_Block_Num,Rpt_Hwy_Num,Rpt_Outside_City_Limit_Fl,Rpt_Outside_City_Limit_Fl_01,Rpt_Sec_Block_Num,Rpt_Sec_Street_Name,Rpt_Sec_Street_Sfx,Rpt_Street_Name,Rpt_Street_Sfx,Rr_Relat_Fl,Rr_Relat_Fl_01,Rural_Fl,Rural_Fl_01,Schl_Bus_Fl,Schl_Bus_Fl_01,Section,Shldr_Width_Left,Shldr_Width_Right,Street_Name,Street_Name_2,Street_Nbr,Surf_Width,Thousand_Damage_Fl,Thousand_Damage_Fl_01,Toll_Road_Fl,Toll_Road_Fl_01,Tot_Injry_Cnt,Trk_Aadt_Pct,Txdot_Rptable_Fl,Txdot_Rptable_Fl_01,Unkn_Injry_Cnt
0,N,0,,,,N,0,Y,1,N,0,,2013-01-03 08:40:00,1/3/2013,N,0,13056580,35,8:40 AM,THU,0,,,,,,,0,9:40 AM,Y,1,DRIVER APPROCHED ME,9:20 AM,29.48602333,Y,1,-98.37184212,,N,0,,,1,0,TXSPD0000,N,0,,,0,N,0,,,1/3/2013,N,0,N,0,,,5900,,N,0,4700,CASTLE CROSS,,CASTLE CROSS,,N,0,N,0,N,0,,,,CASTLE CROSS DR,UNKNOWN,4733.0,,Y,1,N,0,0,,Y,1,1
1,N,0,121569.0,121569.0,2014.0,N,0,N,0,N,0,73.0,2013-01-02 17:00:00,1/2/2013,N,0,13056760,70,5:00 PM,WED,0,138.641,60.0,10.0,10.0,37,IH,0,5:33 PM,Y,1,DISP,5:27 PM,29.38316541,Y,1,-98.46834767,40.0,N,0,8.199,8.0,2,0,TXSPD0000,Y,1,1.4,2.3,0,N,0,-0.156,139,1/2/2013,N,0,N,0,136.0,360.0,2700,2700,N,0,500,FAIR,AVE,INTERSTATE 37,,N,0,N,0,N,0,8.0,20.0,20.0,IH0037,,,96.0,Y,1,N,0,0,3.7,Y,1,0
2,N,0,,,,N,0,N,0,N,0,,2013-01-02 13:50:00,1/2/2013,N,0,13056784,30,1:50 PM,WED,0,,,,,,,0,2:23 PM,Y,1,DISPATCHED,2:20 PM,29.98742475,Y,1,-95.33729309,,N,0,,,2,0,TXHPD0000,N,0,,,0,N,0,,,1/2/2013,N,0,N,0,,,3500,,N,0,3600,TERMINAL,RD,TERMINAL,RD,N,0,N,0,N,0,,,,N TERMINAL RD,,3500.0,,Y,1,N,0,0,,Y,1,0
3,N,0,,,,N,0,N,0,N,0,,2013-01-01 10:20:00,1/1/2013,N,0,13057545,30,10:20 AM,TUE,0,,,,,,,0,10:33 AM,Y,1,DISPATCH,10:23 AM,29.86226657,Y,1,-97.94553068,,N,0,,,1,0,TX1050100,N,0,,,0,N,0,,,1/1/2013,N,0,N,0,,,500,,N,0,,BROADWAY,,PATRICIA,ST,N,0,N,0,N,0,,,,PATRICIA DR,,513.0,,Y,1,N,0,0,,Y,1,0
4,N,0,12828.0,12828.0,2014.0,N,0,Y,1,N,0,176.0,2013-01-05 14:44:00,1/5/2013,N,0,13060207,40,2:44 PM,SAT,0,1.75,0.0,2.0,2.0,59,BU,0,2:54 PM,Y,1,DISPATCHED,2:44 PM,31.34705744,Y,1,-94.71997246,0.0,N,0,7.782,4.0,4,0,TX0030400,Y,1,18.5,2.9,0,N,0,-0.221,388,1/5/2013,N,0,N,0,65.0,120.0,800,59,N,0,500,LAUREL,ST,TIMBERLAND,DR,N,0,N,0,N,0,2.0,2.0,2.0,BU0059G,E LAUREL AVE,898.0,60.0,Y,1,N,0,0,21.4,Y,1,0
5,N,0,,,,N,0,Y,1,N,0,,2013-01-05 15:12:00,1/5/2013,N,0,13060236,30,3:12 PM,SAT,0,,,,,,,0,3:49 PM,Y,1,HPD DISPATCH,3:12 PM,29.84188479,Y,1,-95.38322308,,N,0,,,2,0,TXHPD0000,N,0,,,0,N,0,,,1/5/2013,N,0,N,0,,,5200,,N,0,10,BURRESS,ST,TREADWAY,,N,0,N,0,N,0,,,,TREADWAY ST,BURRESS ST,,,Y,1,N,0,0,,Y,1,0
6,N,0,22756.0,22756.0,2014.0,Y,1,Y,1,N,0,2208.0,2013-01-01 15:10:00,1/1/2013,N,0,13060428,40,3:10 PM,TUE,0,14.001,14.0,0.0,0.0,303,SS,0,3:16 PM,Y,1,DISPATCHED,3:10 PM,32.70949388,Y,1,-97.00243667,14.0,N,0,2.2569999999999997,6.0,2,0,TX0571200,Y,1,0.4,2.5,0,N,0,0.045,576,1/29/2013,N,0,N,0,66.0,120.0,100,303,N,0,2400,CORN VALLEY,,PIONEER,PKWY,N,0,N,0,N,0,2.0,0.0,0.0,SS0303,FM1382,,66.0,Y,1,N,0,0,2.9,Y,1,0
7,N,0,,,,N,0,N,0,N,0,,2013-01-05 15:00:00,1/5/2013,N,0,13060528,35,3:00 PM,SAT,0,,,,,,,0,3:13 PM,Y,1,DISPATCHED,3:03 PM,29.7181635,Y,1,-95.50058591,,N,0,,,3,0,TXHPD0000,N,0,,,0,N,0,,,1/5/2013,N,0,N,0,,,5900,,N,0,6600,US 59 S,FWY,HILLCROFT,AVE,N,0,N,0,N,0,,,,HILLCROFT AVE,,5900.0,,Y,1,N,0,0,,Y,1,0
8,N,0,,,,N,0,N,0,N,0,,2013-01-02 21:24:00,1/2/2013,N,0,13060607,60,9:24 PM,WED,0,,,,,59,US,0,9:24 PM,Y,1,DISPATCH,9:24 PM,,N,0,,,N,0,,,2,1,TXHPD0000,Y,1,,,0,N,0,,,1/2/2013,N,0,N,0,,,5900,59,N,0,,FOUNTAIN VIEW,DR,SOUTHWEST,FWY,N,0,N,0,N,0,,,,US0059,,,,Y,1,N,0,1,,Y,1,0
9,N,0,10929.0,10929.0,2014.0,N,0,Y,1,N,0,700.0,2013-01-06 17:07:00,1/6/2013,N,0,13060631,60,5:07 PM,SUN,0,95.944,0.0,6.0,6.0,71,SH,0,5:15 PM,Y,1,RADIO,5:07 PM,30.40877088,Y,1,-98.10725882,0.0,N,0,1.6059999999999999,4.0,2,0,TX2270000,Y,1,5.6,3.2,0,N,0,-0.4,548,1/6/2013,N,0,N,0,60.0,150.0,25400,71,Y,1,2500,PALEFACE RANCH,RD,SH 71,,N,0,Y,1,N,0,3.0,6.0,6.0,SH0071,PALEFACE RANCH RD S,,48.0,Y,1,N,0,0,8.8,Y,1,0
