,Percent,nulls
Active_School_Zone_Fl,0.0,0
Active_School_Zone_Fl_01,0.0,0
Adt_Adj_Curnt_Amt,58.558,3079
Adt_Curnt_Amt,58.558,3079
Adt_Curnt_Year,58.558,3079
Amend_Supp_Fl,0.0,0
Amend_Supp_Fl_01,0.0,0
At_Intrsct_Fl,0.0,0
At_Intrsct_Fl_01,0.0,0
Cmv_Involv_Fl,0.0,0
Cmv_Involv_Fl_01,0.0,0
Control,58.558,3079
CrashDateFormated,0.0,0
Crash_Date,0.0,0
Crash_Fatal_Fl,0.0,0
Crash_Fatal_Fl_01,0.0,0
Crash_ID,0.0,0
Crash_Speed_Limit,0.0,0
Crash_Time,0.0,0
Day_of_Week,0.0,0
Death_Cnt,0.0,0
Dfo,58.539,3078
Hp_Median_Width,58.558,3079
Hp_Shldr_Left,58.558,3079
Hp_Shldr_Right,58.558,3079
Hwy_Nbr,49.182,2586
Hwy_Sys,49.182,2586
Incap_Injry_Cnt,0.0,0
Investigat_Arrv_Time,0.038,2
Investigat_Comp_Fl,0.0,0
Investigat_Comp_Fl_01,0.0,0
Investigat_Notify_Meth,0.095,5
Investigat_Notify_Time,0.038,2
Latitude,17.954,944
Located_Fl,0.0,0
Located_Fl_01,0.0,0
Longitude,17.954,944
Median_Width,58.558,3079
Medical_Advisory_Fl,0.0,0
Medical_Advisory_Fl_01,0.0,0
Milepoint,58.558,3079
Nbr_Of_Lane,58.558,3079
Non_Injry_Cnt,0.0,0
Nonincap_Injry_Cnt,0.0,0
ORI_Number,10.289,541
Onsys_Fl,0.0,0
Onsys_Fl_01,0.0,0
Pct_Combo_Trk_Adt,58.558,3079
Pct_Single_Trk_Adt,58.558,3079
Poss_Injry_Cnt,0.0,0
Private_Dr_Fl,0.0,0
Private_Dr_Fl_01,0.0,0
Ref_Mark_Displ,58.844,3094
Ref_Mark_Nbr,58.844,3094
Report_Date,0.0,0
Road_Constr_Zone_Fl,0.0,0
Road_Constr_Zone_Fl_01,0.0,0
Road_Constr_Zone_Wrkr_Fl,0.0,0
Road_Constr_Zone_Wrkr_Fl_01,0.0,0
Roadbed_Width,58.558,3079
Row_Width_Usual,58.558,3079
Rpt_Block_Num,16.546,870
Rpt_Hwy_Num,54.222,2851
Rpt_Outside_City_Limit_Fl,0.0,0
Rpt_Outside_City_Limit_Fl_01,0.0,0
Rpt_Sec_Block_Num,34.234,1800
Rpt_Sec_Street_Name,0.0,0
Rpt_Sec_Street_Sfx,32.18,1692
Rpt_Street_Name,0.0,0
Rpt_Street_Sfx,32.37,1702
Rr_Relat_Fl,0.0,0
Rr_Relat_Fl_01,0.0,0
Rural_Fl,0.0,0
Rural_Fl_01,0.0,0
Schl_Bus_Fl,0.0,0
Schl_Bus_Fl_01,0.0,0
Section,58.558,3079
Shldr_Width_Left,58.558,3079
Shldr_Width_Right,58.558,3079
Street_Name,0.0,0
Street_Name_2,57.227,3009
Street_Nbr,56.771,2985
Surf_Width,58.558,3079
Thousand_Damage_Fl,0.0,0
Thousand_Damage_Fl_01,0.0,0
Toll_Road_Fl,0.0,0
Toll_Road_Fl_01,0.0,0
Tot_Injry_Cnt,0.0,0
Trk_Aadt_Pct,58.558,3079
Txdot_Rptable_Fl,0.0,0
Txdot_Rptable_Fl_01,0.0,0
Unkn_Injry_Cnt,0.0,0
